scenario,seed,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,iae_alignment,ise_alignment,mean_alignment_error,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
added_outliers,2,distance_weighted_icp,0.4,0.01742457474230891,0.01738071153535883,0.9994444444444445,0.9558301132541772,0.0060919119938090925,0.03307478786865978,5.703081501750404,1.384918539832198,0.18397037102420657,0.014235411114511093,0.9628178899997273,1800.0,0.7006957972239725
added_outliers,2,distance_weighted_icp,0.75,0.015551623696997688,0.015499455583655052,0.9994444444444445,0.07003480700462235,0.000876580269392697,0.017128552036436605,3.4170670690244953,0.7845261798685427,0.11022796996853211,0.027388130976892643,2.2147534728190754,1800.0,0.7775216772910529
added_outliers,2,distance_weighted_icp,1.0,0.015551623645372483,0.015499455739886458,0.9994444444444445,0.07001855497820018,0.0008765643520356011,0.017128373547190084,2.7437447393306256,0.609649974711021,0.08850789481711695,0.03515245243562706,2.9815997570795587,1800.0,0.7999761196196148
added_outliers,2,mlp_weighted_icp,0.01,0.08566375826658021,0.035446730308730245,0.27166666666666667,11.32302851465105,0.14469656994205715,0.34359061335514784,10.85426158123894,3.800960015200772,0.3501374703625465,0.0003234890262659552,0.014552731252364476,1800.0,0.4634265799303532
added_outliers,2,mlp_weighted_icp,0.03,0.08016966908931152,0.03556890210929071,0.2972222222222222,10.777596136737282,0.12800391011273343,0.31594954056941776,10.436490124224893,3.5181181491047613,0.3366609717491901,0.0010307819875289468,0.05305877682888121,1800.0,0.48071888550975683
added_outliers,2,mlp_weighted_icp,0.05,0.07435546122321093,0.034963373126694695,0.32055555555555554,10.132077133935809,0.11199289558466279,0.2876691281472318,10.00442726694072,3.2419155520688254,0.3227234602238942,0.0018019470959866738,0.08434469317082964,1800.0,0.5021949482464932
added_outliers,2,mlp_weighted_icp,0.1,0.059056878900377384,0.03572960746085701,0.4866666666666667,8.27322893872319,0.07643785329976152,0.2182270215873708,8.920771084245017,2.6207984808545386,0.28776680916919406,0.004111157043761382,0.18543105802393645,1800.0,0.5571912441188714
added_outliers,2,mlp_weighted_icp,0.2,0.03370651962523036,0.02953602053649561,0.9005555555555556,4.29811867448019,0.030083700337385267,0.10677140670741753,6.920156991783681,1.727543311760523,0.2232308707026994,0.009798499805716386,0.4068450883674786,1800.0,0.649729216244263
added_outliers,2,mlp_weighted_icp,0.4,0.015591973369078594,0.015540780309262037,0.9994444444444445,0.15834874907384477,0.0013876761014588548,0.018563136961275897,4.240172470890857,0.9363739749096258,0.13677975712551152,0.023303051711361697,1.2468412842493095,1800.0,0.7524368407689429
added_outliers,2,mlp_weighted_icp,0.75,0.015551692187790669,0.015499523276688004,0.9994444444444445,0.0709444875795575,0.0008873923956871254,0.01714852945927337,2.5724425953961174,0.5324355691992325,0.08298201920632636,0.044056052723371965,2.376393768494922,1800.0,0.8067009001757923
added_outliers,2,mlp_weighted_icp,1.0,0.01555169218787321,0.015499523276712517,0.9994444444444445,0.07094448847657107,0.0008873923947205934,0.017148529467359515,2.111563361311475,0.4205594955779304,0.06811494713907983,0.05874140373422777,3.1915826670803367,1800.0,0.821470051515629
added_outliers,2,unweighted_icp,0.01,0.08618123880699208,0.035282531605934524,0.26722222222222225,11.435676025469887,0.1475236137921021,0.34806161285379306,10.923118944095377,3.8490637622532433,0.3523586756159799,0.00021610720989608746,0.015598899878140352,1800.0,0.4615091653322652
added_outliers,2,unweighted_icp,0.03,0.08222395184635613,0.03544323340000062,0.2822222222222222,11.199470156663505,0.13671046097054268,0.33092911438353384,10.65978285695286,3.6673087107672893,0.3438639631275116,0.0007039640745877019,0.05614301742561756,1800.0,0.4707250277895238
added_outliers,2,unweighted_icp,0.05,0.07804676665066555,0.03505006637912173,0.3022222222222222,10.846051652900492,0.12532982969478118,0.31183711287445165,10.383559495539206,3.4834182605765194,0.33495353211416795,0.001261500047588514,0.09783734526550614,1800.0,0.48480871808666515
